Panchayat_Code,Village_Code
1745001001,1745001001001
1745001001,1745001001002
1745001002,1745001002001
1745001002,1745001002002
1745001003,1745001003001
1745001003,1745001003002
1745001003,1745001003003
1745001003,1745001003004
1745001004,1745001004001
1745001005,1745001005001
1745001005,1745001005002
1745001005,1745001005003
1745001005,1745001005004
1745001006,1745001006001
1745001006,1745001006002
1745001007,1745001007001
1745001007,1745001007002
1745001007,1745001007003
1745001007,1745001007004
1745001008,1745001008001
1745001008,1745001008002
1745001008,1745001008003
1745001008,1745001008004
1745001009,1745001009001
1745001009,1745001009002
1745001009,1745001009003
1745001009,1745001009004
1745001010,1745001010001
1745001010,1745001010002
1745001010,1745001010003
1745001011,1745001011001
1745001011,1745001011002
1745001011,1745001011003
1745001012,1745001012001
1745001012,1745001012002
1745001012,1745001012003
1745001012,1745001012004
1745001012,1745001012005
1745001013,1745001013001
1745001013,1745001013002
1745001013,1745001013003
1745001014,1745001014001
1745001014,1745001014002
1745001014,1745001014003
1745001015,1745001015001
1745001015,1745001015002
1745001016,1745001016001
1745001016,1745001016002
1745001016,1745001016003
1745001016,1745001016004
1745001017,1745001017001
1745001017,1745001017002
1745001017,1745001017003
1745001018,1745001018001
1745001018,1745001018002
1745001019,1745001019001
1745001019,1745001019002
1745001020,1745001020001
1745001021,1745001021001
1745001022,1745001022001
1745001022,1745001022002
1745001023,1745001023001
1745001024,1745001024001
1745001024,1745001024002
1745001024,1745001024003
1745001025,1745001025001
1745001025,1745001025002
1745001025,1745001025003
1745001025,1745001025004
1745001026,1745001026001
1745001026,1745001026002
1745001026,1745001026003
1745001027,1745001027001
1745001027,1745001027002
1745001027,1745001027003
1745001028,1745001028001
1745001028,1745001028002
1745001028,1745001028003
1745001029,1745001029001
1745001029,1745001029002
1745001029,1745001029003
1745001030,1745001030001
1745001030,1745001030002
1745001030,1745001030003
1745001030,1745001030004
1745001031,1745001031001
1745001031,1745001031002
1745001031,1745001031003
1745001032,1745001032001
1745001032,1745001032002
1745001033,1745001033001
1745001033,1745001033002
1745001033,1745001033003
1745001034,1745001034001
1745001034,1745001034002
1745001035,1745001035001
1745001035,1745001035002
1745001036,1745001036001
1745001036,1745001036002
1745001036,1745001036003
1745001037,1745001037001
1745001037,1745001037002
1745001037,1745001037003
1745001038,1745001038001
1745001038,1745001038002
1745001039,1745001039001
1745001039,1745001039002
1745001039,1745001039003
1745001040,1745001040001
1745001040,1745001040002
1745001040,1745001040003
1745001040,1745001040004
1745001041,1745001041001
1745001041,1745001041002
1745001041,1745001041003
1745001041,1745001041004
1745001042,1745001042001
1745001042,1745001042002
1745001042,1745001042003
1745001043,1745001043001
1745001043,1745001043002
1745001043,1745001043003
1745001043,1745001043004
1745001043,1745001043005
1745001044,1745001044001
1745001044,1745001044002
1745001044,1745001044003
1745001045,1745001045001
1745001045,1745001045002
1745001045,1745001045003
1745001045,1745001045004
1745001045,1745001045005
1745001046,1745001046001
1745001046,1745001046002
1745001046,1745001046003
1745001046,1745001046004
1745001047,1745001047001
1745001047,1745001047002
1745001047,1745001047003
1745001048,1745001048001
1745001048,1745001048002
1745001049,1745001049001
1745001049,1745001049002
1745001050,1745001050001
1745001050,1745001050002
1745001050,1745001050003
1745001051,1745001051001
1745001051,1745001051002
1745001051,1745001051003
1745001051,1745001051004
1745001051,1745001051005
1745001051,1745001051006
1745001052,1745001052001
1745001052,1745001052002
1745001052,1745001052003
1745001053,1745001053001
1745001053,1745001053002
1745001053,1745001053003
1745001054,1745001054001
1745001054,1745001054002
1745001055,1745001055001
1745001055,1745001055002
1745001055,1745001055003
1745001055,1745001055004
1745001056,1745001056001
1745001057,1745001057001
1745001057,1745001057002
1745001058,1745001058001
1745001058,1745001058002
1745001058,1745001058003
1745001059,1745001059001
1745001059,1745001059002
1745001059,1745001059003
1745001060,1745001060001
1745001060,1745001060002
1745001060,1745001060003
1745001061,1745001061001
1745001061,1745001061002
1745001062,1745001062001
1745001062,1745001062002
1745001062,1745001062003
1745001063,1745001063001
1745001063,1745001063002
1745001063,1745001063003
1745001064,1745001064001
1745001064,1745001064002
1745001065,1745001065001
1745001065,1745001065002
1745001065,1745001065003
1745001065,1745001065004
1745001065,1745001065005
1745001066,1745001066001
1745001066,1745001066002
1745001066,1745001066003
1745001067,1745001067001
1745001067,1745001067002
1745001067,1745001067003
1745001067,1745001067004
1745001067,1745001067005
1745001067,1745001067006
1745001067,1745001067007
1745001068,1745001068001
1745001068,1745001068002
1745001069,1745001069001
1745002001,1745002001001
1745002001,1745002001002
1745002001,1745002001003
1745002002,1745002002001
1745002002,1745002002002
1745002003,1745002003001
1745002003,1745002003002
1745002004,1745002004001
1745002004,1745002004002
1745002004,1745002004003
1745002004,1745002004004
1745002004,1745002004005
1745002005,1745002005001
1745002005,1745002005002
1745002006,1745002006001
1745002006,1745002006002
1745002006,1745002006003
1745002006,1745002006004
1745002007,1745002007001
1745002007,1745002007002
1745002007,1745002007003
1745002008,1745002008001
1745002008,1745002008002
1745002008,1745002008003
1745002008,1745002008004
1745002009,1745002009001
1745002009,1745002009002
1745002009,1745002009003
1745002009,1745002009004
1745002009,1745002009005
1745002010,1745002010001
1745002010,1745002010002
1745002010,1745002010003
1745002011,1745002011001
1745002011,1745002011002
1745002011,1745002011003
1745002012,1745002012001
1745002012,1745002012002
1745002012,1745002012003
1745002013,1745002013001
1745002013,1745002013002
1745002013,1745002013003
1745002013,1745002013004
1745002014,1745002014001
1745002014,1745002014002
1745002014,1745002014003
1745002015,1745002015001
1745002015,1745002015002
1745002016,1745002016001
1745002016,1745002016002
1745002016,1745002016003
1745002017,1745002017001
1745002017,1745002017002
1745002017,1745002017003
1745002018,1745002018001
1745002018,1745002018002
1745002018,1745002018003
1745002018,1745002018004
1745002019,1745002019001
1745002019,1745002019002
1745002019,1745002019003
1745002019,1745002019004
1745002020,1745002020001
1745002020,1745002020002
1745002020,1745002020003
1745002021,1745002021001
1745002021,1745002021002
1745002021,1745002021003
1745002022,1745002022001
1745002022,1745002022002
1745002022,1745002022003
1745002023,1745002023001
1745002023,1745002023002
1745002023,1745002023003
1745002023,1745002023004
1745002024,1745002024001
1745002024,1745002024002
1745002025,1745002025001
1745002025,1745002025002
1745002026,1745002026001
1745002027,1745002027001
1745002027,1745002027002
1745002027,1745002027003
1745002028,1745002028001
1745002028,1745002028002
1745002028,1745002028003
1745002029,1745002029001
1745002029,1745002029002
1745002029,1745002029003
1745002029,1745002029004
1745002029,1745002029005
1745002029,1745002029006
1745002029,1745002029007
1745002030,1745002030001
1745002030,1745002030002
1745002031,1745002031001
1745002031,1745002031002
1745002031,1745002031003
1745002031,1745002031004
1745002032,1745002032001
1745002032,1745002032002
1745002033,1745002033001
1745002033,1745002033002
1745002033,1745002033003
1745002034,1745002034001
1745002034,1745002034002
1745002035,1745002035001
1745002035,1745002035002
1745002035,1745002035003
1745002035,1745002035004
1745002036,1745002036001
1745002036,1745002036002
1745002036,1745002036003
1745002036,1745002036004
1745002037,1745002037001
1745002037,1745002037002
1745002037,1745002037003
1745002037,1745002037004
1745002038,1745002038001
1745002038,1745002038002
1745002038,1745002038003
1745002038,1745002038004
1745002038,1745002038005
1745002039,1745002039001
1745002039,1745002039002
1745002039,1745002039003
1745002039,1745002039004
1745002040,1745002040001
1745002040,1745002040002
1745002041,1745002041001
1745002041,1745002041002
1745002042,1745002042001
1745002043,1745002043001
1745002043,1745002043002
1745002044,1745002044001
1745002044,1745002044002
1745002044,1745002044003
1745002045,1745002045001
1745002045,1745002045002
1745002045,1745002045003
1745002045,1745002045004
1745002046,1745002046001
1745002046,1745002046002
1745002047,1745002047001
1745002047,1745002047002
1745002047,1745002047003
1745002048,1745002048001
1745002048,1745002048002
1745002048,1745002048003
1745002049,1745002049001
1745002049,1745002049002
1745002050,1745002050001
1745002050,1745002050002
1745002050,1745002050003
1745002050,1745002050004
1745002051,1745002051001
1745002051,1745002051002
1745002051,1745002051003
1745002051,1745002051004
1745002051,1745002051005
1745002051,1745002051006
1745002052,1745002052001
1745002053,1745002053001
1745002053,1745002053002
1745002054,1745002054001
1745002054,1745002054002
1745002054,1745002054003
1745002055,1745002055001
1745002055,1745002055002
1745002055,1745002055003
1745002056,1745002056001
1745002056,1745002056002
1745002056,1745002056003
1745002056,1745002056004
1745002057,1745002057001
1745002057,1745002057002
1745002057,1745002057003
1745002058,1745002058001
1745002058,1745002058002
1745002059,1745002059001
1745002059,1745002059002
1745002060,1745002060001
1745002061,1745002061001
1745002061,1745002061002
1745002061,1745002061003
1745002062,1745002062001
1745002062,1745002062002
1745002062,1745002062003
1745002063,1745002063001
1745002063,1745002063002
1745002064,1745002064001
1745002065,1745002065001
1745002065,1745002065002
1745002065,1745002065003
1745002066,1745002066001
1745003001,1745003001001
1745003001,1745003001002
1745003001,1745003001003
1745003002,1745003002001
1745003002,1745003002002
1745003002,1745003002003
1745003003,1745003003001
1745003004,1745003004001
1745003004,1745003004002
1745003004,1745003004003
1745003005,1745003005001
1745003005,1745003005002
1745003005,1745003005003
1745003006,1745003006001
1745003006,1745003006002
1745003007,1745003007001
1745003007,1745003007002
1745003007,1745003007003
1745003008,1745003008001
1745003008,1745003008002
1745003008,1745003008003
1745003008,1745003008004
1745003008,1745003008005
1745003009,1745003009001
1745003009,1745003009002
1745003009,1745003009003
1745003009,1745003009004
1745003010,1745003010001
1745003010,1745003010002
1745003011,1745003011001
1745003011,1745003011002
1745003012,1745003012001
1745003012,1745003012002
1745003013,1745003013001
1745003013,1745003013002
1745003013,1745003013003
1745003014,1745003014001
